food_name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,percentage_of_ingredients,units,SUM,Target,,,,,,,,,,,,,
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,5,35,sweet,dessert,Andhra Pradesh,South,"Besan:40%, jaggery:25%, cardamom powder:2%, ghee:20%, cashews and raisins:10%, jaggery syrup:5%, sugar:3%","Besan:1, jaggery:1, cardamom powder:1, ghee:0, cashews and raisins:1, jaggery syrup:1, sugar:0",3,1,,,,,,,,,,,,,
Chikki,"Peanuts, jaggery",vegetarian,10,20,sweet,dessert,Maharashtra,West,"Peanuts:60%,Jaggery:40%","Peanuts:1,Jaggery:1",2,0,,,,,,,,,,,,,
Dharwad pedha,"Sugar, Dharwadi buffalo milk",vegetarian,20,60,sweet,dessert,Karnataka,South,"Sugar:30%, Dharwadi buffalo milk:70%","Sugar:0, Dharwadi buffalo milk:1",1,0,,,,,,,,,,,,,
Double ka meetha,"Loaf bread, milk",vegetarian,20,30,sweet,dessert,Telangana,South,"loaf bread:60%,Milk:40%","loaf bread:1,Milk:1",1,0,,,,,,,,,,,,,
Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,"Rice flour:60%, sugar:20%,Ghee:5%,Semolina:10%,salt:5%","Rice flour:0,sugar :1,Ghee:0,Semolina:0,salt:0,",1,0,,,,,,,,,,,,,
Kakinada khaja,"Wheat flour, sugar",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,"Wheat flour:60%, sugar:40%","Wheat flour:1, sugar:0",2,0,,,,,,,,,,,,,
Kuzhi paniyaram,"Black lentils, rice",vegetarian,10,20,sweet,dessert,Kerala,South,"Black lentils:25%, rice:75%","Ricer:1, Black lentils:1",2,0,,,,,,,,,,,,,
Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,5,20,sweet,dessert,Karnataka,South,"Besan flour:50%, semolina:10%, mung bean:2%, jaggery:15%, coconut:5%, skimmed milk powder:5%, sugar:3%, ghee:10%","Besan flour:1, semolina:1, mung bean:1, jaggery:1, coconut:1, skimmed milk powder:1, sugar:0, ghee:0",1,0,,,,,,,,,,,,,
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,180,60,sweet,main course,Karnataka,South,"Maida flour:60%, turmeric:1%, coconut:10%, chickpeas:3%, jaggery:20%, ghee:5%, cardamom:1%","Maida flour:1, turmeric:1, coconut:1, chickpeas:1, jaggery:1, ghee:0, cardamom:1",4,1,,,,,,,,,,,,,
Palathalikalu,"Rice flour, milk",vegetarian,10,25,sweet,dessert,Andhra Pradesh,South,"Rice flour:60%,Milk:40%","Rice flour:1,Milk:1",2,0,,,,,,,,,,,,,
Poornalu,"Chana dal, jaggery",vegetarian,240,60,sweet,dessert,Andhra Pradesh,South,"Chana dal: 60%,Jaggery:40%","Chana dal:1,Jaggery:1",3,1,,,,,,,,,,,,,
Pongal,"Rice, jaggery, cashews, ghee",vegetarian,5,20,sweet,dessert,Tamil Nadu,South," rice: 50%, Jaggery : 30%,ghee:10%,cashews:10%","rice:1 , jaggery:1, ghee:0, cashews:1",3,1,,,,,,,,,,,,,3
Pootharekulu,"Rice flour, powdered sugar, ghee",vegetarian,10,60,sweet,dessert,Andhra Pradesh,South,"Rice flour:70%,  Ghee:10%, powdered sugar:20%","rice flour:1,ghee:0, powdered sugar:1",2,0,,,,,,,,,,,,,2
Qubani ka meetha,"Apricots, sugar syrup",vegetarian,10,20,sweet,dessert,Telangana,South,"Apricots:80% , Sugar syrup:20%","apricots:1, sugar syrup:0",1,0,,,,,,,,,,,,,1
Sheer korma,"Vermicelli pudding, milk,Sugar",vegetarian,10,20,sweet,dessert,Telangana,South,"Vermicelli pudding:50% , milk:40%, Sugar:10%","vermicelli pudding:0, milk:1, sugar:0",1,0,,,,,,,,,,,,,1
Unni Appam,"Rice flour, banana, jaggery, coconut",vegetarian,10,20,sweet,dessert,Tamil Nadu,South,"Rice flour:50%,Jaggery:30%, Banana:10%, coconut:10%","rice flour:1, jaggery:1,banana:1,coconut:1",4,1,,,,,,,,,,,,,4
Kajjikaya,"Rice flour, jaggery, coconut",vegetarian,40,15,sweet,dessert,Andhra Pradesh,South,"Rice flour:40% , jaggery:30%, coconut:30%","rice flour:1,jaggery:1,coconut:1",3,1,,,,,,,,,,,,,3
Anarsa,"Rice flour, jaggery, khus-khus seeds",vegetarian,10,50,sweet,dessert,Maharashtra,West,"Rice flour:50% , jaggery:40%,  khus-khus seeds:10%","rice flour:1, jaggery:1, khus-khus seeds:1",3,1,,,,,,,,,,,,,3
Basundi,"Sugar, milk, nuts",vegetarian,10,35,sweet,dessert,Gujarat,West,"Milk:80%, Sugar:10%, Nuts:10%","milk:1,sugar:0,nuts:1",2,0,,,,,,,,,,,,,2
Dhondas,"Cucumber, rava",vegetarian,10,50,sweet,dessert,Maharashtra,West,"Cucumber:80%,  Rava:20%","cucumber:1,rava:1",2,0,,,,,,,,,,,,,2
Doodhpak,"Milk, rice, sugar, dry fruits",vegetarian,10,60,sweet,dessert,Gujarat,West,"Milk:50%,Sugar:30%, Rice:10%, dry fruits:10%","milk:1, sugar:0,rice:1, dry fruits:1",3,1,,,,,,,,,,,,,3
Mahim halwa,"Semolina, sugar",vegetarian,10,25,sweet,dessert,Maharashtra,West,"Semolina:70%,  Sugar:30%","semolina:1,sugar:0",1,0,,,,,,,,,,,,,1
Modak,"Rice flour, coconut, jaggery ",vegetarian,10,15,sweet,dessert,Maharashtra,West,"Rice flour:10% , coconut:30%, jaggery:30%","rice flour:1, coconut:1,jaggery:1",3,1,,,,,,,,,,,,,3
Shankarpali,"Sugar, ghee, maida flour, semolina",vegetarian,10,35,sweet,dessert,Maharashtra,West,"Sugar:50%,Maida Flour:30%, Ghee:10%, semolina:10%","sugar:0,maida flour:0,ghee:0,semolina:1",1,0,,,,,,,,,,,,,1
Shrikhand,"Curd, sugar, saffron, cardamom",vegetarian,10,720,sweet,dessert,Maharashtra,West,"Curd:30%, , sugar:30%, saffron:30%, cardamom:10%","curd:1, sugar:0, saffron:1, cardamom:1",3,1,,,,,,,,,,,,,3
Sutar feni,"Maida, sugar, ghee",vegetarian,15,55,sweet,dessert,Maharashtra,West,"Sugar:80%, Maida:15%, Ghee:15%","sugar:0,maida:0,ghee:0",0,0,,,,,,,,,,,,,0
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",non vegetarian,10,40,spicy,main course,Assam,North East,"Fish:40%, potol:30% , tomoto:15%, chillies:5%, ginger:3%, garlic:2%","fish:1,potol:1,tomato:1, chillies:1,ginger:1,garlic:1",6,1,,,,,,,,,,,,,6
Chak Hao Kheer,"Rice, milk, sugar, cardamom",vegetarian,240,45,sweet,dessert,Manipur,North East,"Rice:40%, , milk:27%, sugar:30%, cardamom:3%","rice:1,milk:1,sugar:0,cardamom:1",3,1,,,,,,,,,,,,,3
Galho,"Rice, axone, salt, water, chillies, pork",non vegetarian,5,15,spicy,main course,Nagaland,North East,"Rice:50%,  chillies:5%, water:2%,pork:3%, salt:2%,axone:40%","rice:1,chillies:1,water:1,salt:0,pork:1,axone:1",6,1,,,,,,,,,,,,,6
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,10,20,spicy,main course,Punjab,North,"Cauliflower:60%, potato:33%,temeric:1%, curry leaves:1%,garam masala:5%","cauliflower:1,potato:1,termeric:1,curry leaves:1,garam masala:1",4,1,,,,,,,,,,,,,4
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",vegetarian,5,20,spicy,main course,Punjab,North,"Rice flour :40%,Garam Masala:10%, Potato:20% Bread Crumbs:25%,  salt:-5%","rice flour:1, garam masala:1,potato:1,bread crumbs:0,salt:0",5,1,,,,,,,,,,,,,5
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",vegetarian,5,40,spicy,main course,Punjab,North,"Potato:50%, Peas:40%, chillies:5%, garam masala:3%, ginger:1%,garlic:1%","potato:1,peas:1,chillies:1,garam masala:1, ginger:1, garlic:1",6,1,,,,,,,,,,,,,6
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",vegetarian,10,40,bitter,main course,Punjab,North,"Potato:40%, fenugreek leaves :30% , chillies:15%, salt:3%, oil:2%","potato:1,fenugreek leaves:1,chillis:1,salt:0,oil:0",3,1,,,,,,,,,,,,,3
Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,10,40,spicy,main course,Punjab,North,"Potato   :55%%,Amchur Powder:20%,shimla mirch:15%,  salt:-5%,garam masala:5%","potato:1,amchur powde:1,shimla mirch:1,salt:0,garam masala:1",3,1,,,,,,,,,,,,,3
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",vegetarian,20,20,spicy,main course,Punjab,North,"Chole:12%, yogurt:15%, plain flour:60%,Baking soda:3%,rava:10%","chole:1yogurt:1,plainflour:0,baking soda:0,rava:1",2,0,,,,,,,,,,,,,2
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,20,30,spicy,main course,Punjab,North,"Ladies finger:60%,Garam masala:5%, Kasuri methi:5%, Tomatoes:25%,Chili powder:5%","ladies finger:1,garam masala:1,kasuri meethi:1,tomatoes:1,chilli powder:1",5,1,,,,,,,,,,,,,5
Biryani,"Chicken thighs, basmati rice,, green chillies",non vegetarian,30,120,spicy,main course,Telangana,South,"Chicken thighs:30%, basmati Rice:60%, Green chillies:10%","chicken thighs:1,basmati rice:1,green chillies:1",3,1,,,,,,,,,,,,,3
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,10,35,spicy,main course,NCT of Delhi,North,"Chicken :55%,Cashew Nuts:15%, Greek yogurt:15%  butter:-5%,Garam masal powder:5%,cream:5%","chicken:1,cashew nuts:1,greek yogurt:1,butter:0,garam masala powder:1,cream:0",4,1,,,,,,,,,,,,,4
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,20,30,spicy,main course,Punjab,North,"Chickpeas :55%, Red Onion:10%,  Ginger:10%,Tomato paste:10%,  avocado oil:-10%,garam masala:5%","chickpeas:1,red onion:1,ginger:1,tomato paste:1,avocado oil:1,garam masala:1",6,1,,,,,,,,,,,,,6
Chapati,"Whole wheat flour, olive oil, hot water,",vegetarian,10,10,-1,main course,Maharashtra,West,"Whole wheat flour  :90%,Hot Water:5%,Olive oil:5%","whole wheat flour:1,hot water:1,olivee oil:1",3,1,,,,,,,,,,,,,3
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non vegetarian,10,35,spicy,main course,West Bengal,East,"Chicken :70%,Dahi:5%, Cashew Nuts:5%,Sesame seeds:5%, Garam masala powder:5%,  saffron:-10%","chicken:1,dahi:1,cashew nuts:1,sesame seeds:1,garam masala powder:1,saffron:1",6,1,,,,,,,,,,,,,6
Chicken Tikka masala,"Naan bread, skinless chicken breasts, heavy cream, garam masala",non vegetarian,10,50,spicy,main course,Punjab,North,"Naan bread :15%,Heavy Cream:10%,   garam masala:-5%, Skinless chicken breasts:70%","naan bread:1,heavy cream:1, garam masala:1, skinless chicken breasts;1",3,1,,,,,,"ream:0,ga",,,,,,,3
Chicken Tikka,"Chicken, garam masala powder, Yogurt,Salt",non vegetarian,120,45,spicy,starter,Punjab,North,"Chicken:80%, Yogurt:15%, Garam masala powder:3%, Salt:2%","chicken:1, yogurt:1, garam masala powder:1,salt:0",3,1,,,,,,,,,,,,,3
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,20,30,spicy,main course,Punjab,North,"Chole:45%, Bhatura:45%, garam masala:5%, Bay leaf:2%, Cinnamon stick:3%","chole:1,bhatura:0,garam masala:1, bay leaf:1,cinnamon stick:1",4,1,,,,,,,,,,,,,4
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,10,90,spicy,main course,Rajasthan,West,"Moong dal:10%,Wheat Flour:40%,  almond:-3%, Chana dal :40%, Masoor dal:7%","mong dal:1,wheat flour:1,almond:1,chana dal:1,masoor dal:1",5,1,,,,,,,,,,,,,5
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,30,30,spicy,main course,West Bengal,East,"Moong dal :30%,Green Chilli:5%,   all purpose flour:-60%,Garam masala powder:3%,Garlic:2%","moong dal:1,green chilli:1,all purpose flour:0,garam masala powder:1,garlic:1",4,1,,,,,,,,,,,,,4
Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,10,60,sweet,main course,Punjab,North,"Red kidney beans:40%, urad dal:40%, cream:10%, garam masala:5%, chili powder:5%","Red kidney beans:1, urad dal:1, cream:0, garam masala:1, chili powder:1",2,0,,,,,,,,,,,,,2
Dal tadka,"Pigeon peas, garam masala,Kasuri methi, red onion,Chilli powder",vegetarian,10,30,spicy,main course,Punjab,North,"Pigeon peas  :60%,Red Onion:15%,   kasuri methi:-5%,Chilli powder:3%, Garam masala:2%","pigeon peas:1,red onion:1,kasuri meethi:1,chilli powder:1,garam masala:1",6,1,,,,,,,,,,,,,6
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,20,50,spicy,main course,Jammu & Kashmir,North,"Baby potatoes :60%,Kasuri Methi:5%,   tomatoes:-20%,Garam masala:5%, Cashew nuts:10%","baby potatoes:1,kasuri meethi:1,tomatoes:1,garam masala:1cashew nuts:1",5,1,,,,,,,,,,,,,5
Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,20,30,spicy,snack,Maharashtra,West,"Beaten rice flakes  :80%,Green Chilies:4%, lemon juice:-5%,Potato:10%,Curry leaves:1%","beaten rice flakes:1,green chillies:1,lemon juice:1,potato:1,curry leaves:1",5,1,,,,,,,,,,,,,5
Fara,"Chana dal, whole wheat flour, garam masala powder",vegetarian,10,60,spicy,snack,Chhattisgarh,Central,"Chana dal :35%, Whole wheat flour:60% garam masala powder:-5%","chana dal:1,whole wheat flour:1,garam masala powder:1",3,1,,,,,,,,,,,,,3
Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",vegetarian,30,60,spicy,snack,Uttar Pradesh,North,"Moong dal  :40%,Dough:50%,  fennel seeds:-5%,Garam masala:3% Rava:2%","moong dal:1,dough:0,fennel seeds:1,garam masala:1,rava:1",4,1,,,,,,,,,,,,,4
Kadai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",vegetarian,20,30,spicy,main course,Punjab,North,"Cottage cheese :50%,Garam Masala:10%,  cashew nuts:-15%, Bell peppers:15%,Gravy:10%","cottage cheese:1,garam masala:1,cashew nuts:1,bell peppers:1,gravy:0",4,1,,,,,,,,,,,,,4
Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, vegetables",vegetarian,10,60,spicy,main course,Haryana,North,"Besan:50%, garam masala powder :5%, Gram flour:20% , Vegetables:20%,ginger:5%","besan:1,garam masala powder:1,gram flour:1,vegetables:1,ginger:1",4,1,,,,,,,,,,,,,4
Karela bharta,"Bitter gourd, onion, tomato, garam masala powder, chilli powder",vegetarian,20,50,bitter,main course,Punjab,North,"Bitter gourd :60%,Chili Powder:5%,Onion:15%, Tomato:15%,Garam masala powder:5%","bitter gourd:1,chilli powder:1,onion:1,timato:1,garam masala powder:1",5,1,,,,,,,,,,,,,5
Khichdi,"Moong dal, tomato, green chili,Rice",vegetarian,40,20,spicy,main course,-1,-1,"Moong dal  :30%,Tomato:10%,  green chili:-10%,Rice:50%","moong dal:1,tomato:1,green chilli:1,rice:1",4,1,,,,,,,,,,,,,4
Kofta,"Paneer, potato, cream, corn flour, garam masala",vegetarian,20,40,spicy,main course,Uttar Pradesh,North,"Paneer:50%,Potato:15%, Cream:10%, Corn flour:20%, Garam masala:5%","paneer:1,potato:1,cream:0,corn flour:0,garam masala:1",3,1,,,,,,,,,,,,,3
Kulfi falooda,"Rose syrup, falooda sev, mixed nuts, milk, sugar",vegetarian,45,25,sweet,dessert,-1,-1,"Rose syrup  :15%,milk:40%, sugar:-10%,Falooda sev:30%,Mixed nuts:5%","rose syrup:0,milk:1,sugar:0,falooda sev:0,mixed nuts:1",2,0,,,,,,,,,,,,,2
Lauki ke kofte,"Bottle gourd, garam masala powder, gram flour, ginger, chillies",vegetarian,20,40,spicy,main course,Uttar Pradesh,North,"Bottle gourd :60%,Ginger:5%, chillies:-10%,Gram flour;20%,Garam masala powder:5%","bottle gourd:1,ginger:1,chillies:1,gram flour:1,garam masala powder:1",5,1,,,,,,,,,,,,,5
Lauki ki subji,"Bottle gourd, coconut oil, garam masala, green chillies,Onion",vegetarian,10,20,spicy,main course,-1,-1,"Bottle gourd :70%,  green chillies:-3%,Onion:15%,Garam masala:2%,Coconut oil:10%","bottle gourd:1,green chillies:1,onion:1,garam masala:1,coconut oil:1",5,1,,,,,,,,,,,,,5
Litti chokha,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",vegetarian,45,60,spicy,main course,Bihar,North,"Wheat flour :25%,roasted gram flour-25%,Nigella Seeds:30%, tomato:15%,  chilli:5%","Wheat flour:1, roasted gram flour:1, tomato:1, nigella seeds:1, chilli:1",5,1,,,,,,,,,,,,,
Makki di roti sarson da saag,"Palak, makki atta, mustard green, garam masala, ginger",vegetarian,25,30,spicy,main course,Punjab,North,"palak:20%,makki atta:50%,mustard green:20%,garam masala:5%,ginger:5%","Palak:1, makki atta:0, mustard green:1, garam masala:1, ginger:1",3,1,,,,,,,,,,,,,
Misi roti,"Whole wheat flour, chickpea flour, green chilies",vegetarian,30,30,spicy,main course,Punjab,North,"whole wheat flour:35% , chickpea flour:60% ,green chilies:5%","Whole wheat flour:1, chickpea flour:1, green chilies:1",3,1,,,,,,,,,,,,,
